frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,se_current_mu_hat,mean_current_sigma_hat,se_current_sigma_hat,mean_future_mu_hat,se_future_mu_hat,mean_future_sigma_hat,se_future_sigma_hat,mean_expected_cum_bps,se_expected_cum_bps,mean_realized_cum_bps,se_realized_cum_bps,mean_realized_max_up_bps,se_realized_max_up_bps,mean_realized_max_down_bps,se_realized_max_down_bps,mean_realized_max_abs_bps,se_realized_max_abs_bps
daily,detectable_upward_drift,volume_level,high_volume,7,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0033695611915063317,0.00384315210700941,0.017369753892419806,2.7330927478632847e-05,210.1966894741687,122.86646637469767,-412.51556270992916,287.31976247942816,0.0,0.0,-622.8400703813041,76.99525480805322,622.8400703813041,76.99525480805322
daily,detectable_upward_drift,volume_level,high_volume,8,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0034254701517772435,0.005843613598201679,0.017142770614127827,0.00041475689700142497,240.70437601410202,140.83630377621014,-570.9543681800733,339.87232527382787,0.0,0.0,-728.335754513576,182.4909389403251,728.335754513576,182.4909389403251
daily,detectable_upward_drift,volume_level,high_volume,9,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0011961042399423812,0.0013188304825187587,0.018772880563983706,0.0021305055770284072,271.3335704444081,158.9120653945623,-557.3284543924644,431.0860976382108,0.0,0.0,-767.1296838019631,221.28486822871216,767.1296838019631,221.28486822871216
daily,detectable_upward_drift,volume_level,high_volume,10,2,0.0029613418792530473,0.0017191833026038942,0.011864111190058181,0.0007823168647471192,-0.0009985765872827957,0.0007658309900533178,0.018035072729096373,0.0018761868534198003,302.0848159482025,177.09427504344845,-403.786949198352,158.9126274884661,0.0,0.0,-767.1296838019631,221.28486822871216,767.1296838019631,221.28486822871216
daily,detectable_upward_drift,volume_level,low_volume,1,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.0014258272261414879,0.0012733801572219908,0.012587107523298302,0.000757620125348477,84.71574038570138,12.595012985440816,21.800526940200736,11.91712626289317,80.08108120350907,8.687204499790335,-58.280554263308325,6.052488845564209,138.36163546681743,9.065450244084689
daily,detectable_upward_drift,volume_level,low_volume,2,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.001111927910228161,0.0009097915056336452,0.015224388995612986,0.0007361255832850376,175.0985482239393,26.84200196303595,40.00013121129778,18.364821498682925,145.16771535965157,13.356478506010104,-107.49620567687133,9.344384446633867,243.55431413784257,13.331698280925105
daily,detectable_upward_drift,volume_level,low_volume,3,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.001127156553240427,0.0007470903513015953,0.016568813275489105,0.0006891560140549919,271.8451914776519,42.958269519342636,50.597645654334954,22.349381950550974,195.08934417649192,16.96459312877453,-143.58077221134138,11.162854297776345,318.88779550587446,16.344557640356577
daily,detectable_upward_drift,volume_level,low_volume,4,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.0013223782171156323,0.0006444375279854237,0.017226892314620313,0.0006422030495920109,375.7424303716609,61.18929814163625,63.628593931922666,26.346880633221428,244.6784290825343,19.705223665153053,-176.93858294584055,12.936990561342835,389.0567562562104,18.66543344132334
daily,detectable_upward_drift,volume_level,low_volume,5,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.0013799012810396583,0.000547552203239895,0.01777378444515806,0.0006224422258597746,487.67868975395805,81.81240736583794,86.57996849633933,28.306045122852282,290.4753001213515,20.995915210336808,-206.66423559036684,14.486923672833457,450.8683037728143,19.557207634503506
daily,detectable_upward_drift,volume_level,low_volume,6,313,0.008209407174182688,0.001183507410990266,0.039084906605682736,0.00582402983555416,0.0015143280425217191,0.0004880373567250755,0.01813065106463654,0.0006027390957363231,608.6572468752661,105.14088806348727,108.38853109947571,29.77166835840301,331.33610361151995,21.84478908719136,-228.74395779648134,15.87719169669239,504.42872538937524,20.032129108575827
