trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2021-09-10,2021-09-10,265,1.0,1,0.001526796155111225,1,0.001526796155111225,-0.0065426757864397505,2.7663203208846926e-06,2.7663203208846926e-06,-3.9337265451508405,3.9337265451508405,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.001526796155111225,0.009172370320056054,63
2021-09-13,2021-09-13,253,1.0,1,0.0008009752208606764,1,0.0008009752208606764,0.00039009434589304154,2.9887594459193118e-06,2.9887594459193118e-06,0.225644199967464,0.225644199967464,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.0008009752208606764,0.009428962380762046,63
2021-09-14,2021-09-14,247,1.0,1,0.0007898163767807614,1,0.0007898163767807614,-0.002432092292070265,1.1472280448976195e-06,1.1472280448976195e-06,-2.2706760214166555,2.2706760214166555,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.0007898163767807614,0.009516300806283694,63
2021-09-15,2021-09-15,349,1.0,1,0.0014160329303301129,1,0.0014160329303301129,0.0017476166935840975,1.6100128511429927e-06,1.6100128511429927e-06,1.3773094054473205,1.3773094054473205,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.0014160329303301129,0.009231252124413291,63
2021-09-16,2021-09-16,263,1.0,1,0.00230705400379965,1,0.00230705400379965,-0.005777722741218342,2.2022768190599097e-06,2.2022768190599097e-06,-3.8933257624784097,3.8933257624784097,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,0.00230705400379965,0.008712688157370932,63
2021-09-17,2021-09-17,266,1.0,1,0.0017198900968321182,1,0.0017198900968321182,-0.00249498324784137,8.509988809924582e-07,8.509988809924582e-07,-2.7046005963720385,2.7046005963720385,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.0017198900968321182,0.00875959250137302,63
2021-09-20,2021-09-20,357,1.0,1,0.00027438644604987114,1,0.00027438644604987114,0.00038483850265407687,2.7552182599564444e-06,2.7552182599564444e-06,0.2318464829734836,0.2318464829734836,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.00027438644604987114,0.009797697598903766,63
2021-09-21,2021-09-21,251,1.0,1,0.00048269821165644735,1,0.00048269821165644735,-0.005407485710766721,5.7561480087515735e-06,5.7561480087515735e-06,-2.2538728092016926,2.2538728092016926,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,0.00048269821165644735,0.009948021275151264,63
2021-09-22,2021-09-22,244,1.0,1,-6.425837330281682e-05,-1,6.425837330281682e-05,-0.0032847722959931072,4.541720679467488e-06,4.541720679467488e-06,-1.541327966844248,1.541327966844248,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-6.425837330281682e-05,0.009570661048756741,63
2021-09-23,2021-09-23,222,1.0,1,-1.3823641849621182e-05,-1,1.3823641849621182e-05,-0.0001537679348728192,9.669538018134886e-07,9.669538018134886e-07,-0.1563734144261438,0.1563734144261438,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-1.3823641849621182e-05,0.009622495250922606,63
2021-09-24,2021-09-24,235,1.0,1,-0.0005162924730111781,-1,0.0005162924730111781,-0.0021011596918692516,2.55262676387454e-06,2.55262676387454e-06,-1.315120057969825,1.315120057969825,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0005162924730111781,0.009663372810797419,63
2021-09-27,2021-09-27,248,1.0,1,-0.0002010265656836332,-1,0.0002010265656836332,0.0025355656576866873,1.4646663825689333e-06,1.4646663825689333e-06,2.0951036050060314,2.0951036050060314,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.0002010265656836332,0.009598749987100858,63
2021-09-28,2021-09-28,337,1.0,1,-0.002052886131433147,-1,0.002052886131433147,0.00011868073126101249,2.777129701026446e-06,2.777129701026446e-06,0.07121674694646704,0.07121674694646704,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.002052886131433147,0.011048199514096909,63
2021-09-29,2021-09-29,272,1.0,1,-0.002769486384868096,-1,0.002769486384868096,0.0006373442126129804,2.7999883024239993e-06,2.7999883024239993e-06,0.38088681407170916,0.38088681407170916,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.002769486384868096,0.011070940255935564,63
2021-09-30,2021-09-30,235,1.0,1,-0.0030137969399345373,-1,0.0030137969399345373,-0.0008003460972739733,3.6417665395051945e-06,3.6417665395051945e-06,-0.41939358270577604,0.41939358270577604,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.0030137969399345373,0.011134049405933094,63
2021-10-01,2021-10-01,240,1.0,1,-0.003522535044453032,-1,0.003522535044453032,-0.0015884162079167442,2.7014231071142602e-06,2.7014231071142602e-06,-0.9664246633446121,0.9664246633446121,0,no_detectable_drift,no_detectable_drift,False,nan_or_inf_returns,-0.003522535044453032,0.010896471943373797,63
