frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,mean_current_sigma_hat,mean_future_mu_hat,mean_future_sigma_hat,mean_realized_cum_bps,mean_realized_max_up_bps,mean_realized_max_down_bps
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,7,1,0.0023210217333220064,0.015739625982185836,5.32298732911517e-05,0.0009803941170703498,-3.82298377368695,-3.82298377368695,-3.82298377368695
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,8,1,0.0023210217333220064,0.015739625982185836,5.407364453621222e-05,0.0009313874137607696,1.89271283359993,1.89271283359993,1.89271283359993
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,9,1,0.0023210217333220064,0.015739625982185836,5.635511304435465e-05,0.0008831167848095343,6.772170664484101,6.772170664484101,6.772170664484101
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,10,1,0.0023210217333220064,0.015739625982185836,4.632542048381557e-05,0.0008438886522543232,13.652243962942734,13.652243962942734,13.652243962942734
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,11,1,0.0023210217333220064,0.015739625982185836,3.695056040952744e-05,0.0008130142914087394,16.87647764373912,16.87647764373912,16.87647764373912
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,12,1,0.0023210217333220064,0.015739625982185836,3.252570227398641e-05,0.0008450110882344604,22.077242839793065,22.077242839793065,22.077242839793065
daily_zoom,detectable_upward_drift,exclusive_location,above_mid_only,13,1,0.0023210217333220064,0.015739625982185836,4.0703753346472294e-05,0.0008216608862258745,32.48884953625186,32.48884953625186,32.48884953625186
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,1,3,0.003782644505946719,0.011505799777796429,-6.302572987921313e-05,0.001956186097516896,-182.46651711492868,-182.46651711492868,-182.46651711492868
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,2,3,0.003782644505946719,0.011505799777796429,-0.00013427991562118516,0.0015881878404650424,-191.45382558859373,-191.45382558859373,-191.45382558859373
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,3,3,0.003782644505946719,0.011505799777796429,-0.00012852052398034457,0.001362582365532727,-205.01560730084466,-205.01560730084466,-205.01560730084466
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,4,3,0.003782644505946719,0.011505799777796429,-7.896087271250425e-05,0.001235729597544181,-214.17188396053925,-214.17188396053925,-214.17188396053925
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,5,3,0.003782644505946719,0.011505799777796429,-8.762172606103766e-05,0.001145853069531366,-221.2942412706324,-221.2942412706324,-221.2942412706324
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,6,3,0.003782644505946719,0.011505799777796429,-6.369804928131041e-05,0.0010792894360261668,-225.50711368061638,-225.50711368061638,-225.50711368061638
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,7,3,0.003782644505946719,0.011505799777796429,-6.091166392638283e-05,0.0010101473259980314,-227.76178294911224,-227.76178294911224,-227.76178294911224
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,8,3,0.003782644505946719,0.011505799777796429,-6.0624753237683206e-05,0.0009600006885161176,-230.74831982502005,-230.74831982502005,-230.74831982502005
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,9,3,0.003782644505946719,0.011505799777796429,-5.3491393782797074e-05,0.0009185435620377608,-235.74991128179286,-235.74991128179286,-235.74991128179286
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,10,3,0.003782644505946719,0.011505799777796429,-4.897640144345634e-05,0.0008877022457520182,-239.23025519718627,-239.23025519718627,-239.23025519718627
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,11,3,0.003782644505946719,0.011505799777796429,-4.057547029364055e-05,0.0008573762114298948,-241.98309978262185,-241.98309978262185,-241.98309978262185
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,12,3,0.003782644505946719,0.011505799777796429,-2.939531967285358e-05,0.0008360125349270754,-244.0144639897046,-244.0144639897046,-244.0144639897046
daily_zoom,detectable_upward_drift,exclusive_location,below_mid_only,13,3,0.003782644505946719,0.011505799777796429,-3.157285484928033e-05,0.0008257470782398477,-247.7088885897949,-247.7088885897949,-247.7088885897949
daily_zoom,detectable_upward_drift,exclusive_location,none,1,311,0.008237293164072429,0.03925095487023549,2.06397691212531e-05,0.001448793990717573,21.79575406246864,21.79575406246864,21.79575406246864
daily_zoom,detectable_upward_drift,exclusive_location,none,2,311,0.008237293164072429,0.03925095487023549,7.2805312704802755e-06,0.0012357224109875488,23.170391915538023,23.170391915538023,23.170391915538023
daily_zoom,detectable_upward_drift,exclusive_location,none,3,311,0.008237293164072429,0.03925095487023549,1.3911404627887335e-06,0.0011066729490356556,22.595487654174637,22.595487654174637,22.595487654174637
daily_zoom,detectable_upward_drift,exclusive_location,none,4,311,0.008237293164072429,0.03925095487023549,4.482000157908719e-06,0.001031783769371639,22.224155777979515,22.224155777979515,22.224155777979515
daily_zoom,detectable_upward_drift,exclusive_location,none,5,311,0.008237293164072429,0.03925095487023549,5.676757020714106e-06,0.0009646326660152058,22.666874437348987,22.666874437348987,22.666874437348987
daily_zoom,detectable_upward_drift,exclusive_location,none,6,311,0.008237293164072429,0.03925095487023549,4.209220687702303e-06,0.0009198527510860032,23.08591596648754,23.08591596648754,23.08591596648754
daily_zoom,detectable_upward_drift,exclusive_location,none,7,311,0.008237293164072429,0.03925095487023549,3.2569655757676516e-06,0.0008769160530917147,22.977544137866616,22.977544137866616,22.977544137866616
