trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2025-05-08,2025-05-08,389,1.0,1,0.007860880087920361,1,0.007860880087920361,18.582565926120658,17.533363644794473,17.533363644794473,4.437854528833104,4.437854528833104,1,detectable_upward_drift,detectable_upward_drift,True,,0.007860880087920361,0.03473534979883424,63
2025-05-09,2025-05-09,389,1.0,1,0.0018771435160147038,1,0.0018771435160147038,13.863442527935556,11.150409490044263,11.150409490044263,4.151697265042898,4.151697265042898,1,detectable_upward_drift,detectable_upward_drift,True,,0.0018771435160147038,0.028973737619745737,63
2025-05-13,2025-05-13,389,1.0,1,0.009116926477582037,1,0.009116926477582037,17.085272572230622,11.963417878897237,11.963417878897237,4.939628359844885,4.939628359844885,1,detectable_upward_drift,detectable_upward_drift,True,,0.009116926477582037,0.03036206006131549,63
2025-05-14,2025-05-14,389,1.0,1,0.01006790192355093,1,0.01006790192355093,13.603351052023683,14.62372499971474,14.62372499971474,3.5572705749277183,3.5572705749277183,1,detectable_upward_drift,detectable_upward_drift,True,,0.01006790192355093,0.029768960827918866,63
2025-05-15,2025-05-15,389,1.0,1,0.010256675568281063,1,0.010256675568281063,24.47455559571278,93.2265562942423,93.2265562942423,2.5348075597079194,2.5348075597079194,1,detectable_upward_drift,detectable_upward_drift,True,,0.010256675568281063,0.02975927482143724,63
2025-05-16,2025-05-16,389,1.0,1,0.011587672179423142,1,0.011587672179423142,14.849334587959385,16.632853297554096,16.632853297554096,3.6410246105365602,3.6410246105365602,1,detectable_upward_drift,detectable_upward_drift,True,,0.011587672179423142,0.02913895203432361,63
2025-05-20,2025-05-20,389,1.0,1,0.012932258621193198,1,0.012932258621193198,6.455055052312403,4.670088384423689,4.670088384423689,2.987014979567473,2.987014979567473,1,detectable_upward_drift,detectable_upward_drift,True,,0.012932258621193198,0.028030264049355182,63
2025-05-21,2025-05-21,389,1.0,1,0.011600831243106255,1,0.011600831243106255,20.55175254613288,35.89335971972607,35.89335971972607,3.430376641529273,3.430376641529273,1,detectable_upward_drift,detectable_upward_drift,True,,0.011600831243106255,0.02783138650040721,63
2025-05-22,2025-05-22,389,1.0,1,0.009751929306643661,1,0.009751929306643661,12.175496284374908,22.67861303263472,22.67861303263472,2.5566920861726383,2.5566920861726383,1,detectable_upward_drift,detectable_upward_drift,True,,0.009751929306643661,0.024308583309967574,63
2025-05-23,2025-05-23,389,1.0,1,0.008064795050434533,1,0.008064795050434533,8.667040919198135,11.215134261180376,11.215134261180376,2.588025841387911,2.588025841387911,1,detectable_upward_drift,detectable_upward_drift,True,,0.008064795050434533,0.024697597906096994,63
2025-05-27,2025-05-27,389,1.0,1,0.007615245713477154,1,0.007615245713477154,6.214740595994708,2.8503173409052134,2.8503173409052134,3.6810896828967827,3.6810896828967827,1,detectable_upward_drift,detectable_upward_drift,True,,0.007615245713477154,0.02447792448115292,63
2025-05-29,2025-05-29,389,1.0,1,0.007113908406752052,1,0.007113908406752052,11.00614061363309,20.996314294401657,20.996314294401657,2.4019475762549267,2.4019475762549267,1,detectable_upward_drift,detectable_upward_drift,True,,0.007113908406752052,0.024319097568034655,63
2025-06-02,2025-06-02,389,1.0,1,0.0071427365150499465,1,0.0071427365150499465,39.2367435587816,100.84003778043923,100.84003778043923,3.907297290616849,3.907297290616849,1,detectable_upward_drift,detectable_upward_drift,True,,0.0071427365150499465,0.018630356667589963,63
2025-06-04,2025-06-04,389,1.0,1,0.006314214167133684,1,0.006314214167133684,24.53905353883284,31.61242231586482,31.61242231586482,4.364443951201228,4.364443951201228,1,detectable_upward_drift,detectable_upward_drift,True,,0.006314214167133684,0.018076144372506504,63
2025-06-05,2025-06-05,389,1.0,1,0.007300660588363344,1,0.007300660588363344,24.226625799381047,31.020118613758598,31.020118613758598,4.3498191834959625,4.3498191834959625,1,detectable_upward_drift,detectable_upward_drift,True,,0.007300660588363344,0.017717579556636727,63
2025-06-09,2025-06-09,389,1.0,1,0.006811515359121882,1,0.006811515359121882,10.995934082335731,11.719850253069133,11.719850253069133,3.211967160657439,3.211967160657439,1,detectable_upward_drift,detectable_upward_drift,True,,0.006811515359121882,0.017977188761736075,63
2025-06-12,2025-06-12,389,1.0,1,0.0025523278809528264,1,0.0025523278809528264,13.480559198256087,12.481324329454333,12.481324329454333,3.8157294470294207,3.8157294470294207,1,detectable_upward_drift,detectable_upward_drift,True,,0.0025523278809528264,0.01225505898694764,63
2025-06-17,2025-06-17,389,1.0,1,0.004302880828445428,1,0.004302880828445428,9.102446954038218,8.862700478635873,8.862700478635873,3.0575609321279487,3.0575609321279487,1,detectable_upward_drift,detectable_upward_drift,True,,0.004302880828445428,0.012517436941882284,63
2025-06-20,2025-06-20,389,1.0,1,0.003430595997322005,1,0.003430595997322005,9.727466539591644,20.908572375132206,20.908572375132206,2.1273431801959575,2.1273431801959575,1,detectable_upward_drift,detectable_upward_drift,True,,0.003430595997322005,0.012737822482970245,63
2025-06-23,2025-06-23,389,1.0,1,0.00440315322889888,1,0.00440315322889888,11.74835411294954,22.528036260550774,22.528036260550774,2.475228860190087,2.475228860190087,1,detectable_upward_drift,detectable_upward_drift,True,,0.00440315322889888,0.012635209634469081,63
2025-06-25,2025-06-25,389,1.0,1,0.0055994382921671785,1,0.0055994382921671785,6.521973647501958,10.991410041763702,10.991410041763702,1.967217298973804,1.967217298973804,1,detectable_upward_drift,detectable_upward_drift,True,,0.0055994382921671785,0.012300450903893442,63
2025-07-01,2025-07-01,389,1.0,1,0.005261688615828319,1,0.005261688615828319,21.08334635225534,110.04935873368923,110.04935873368923,2.0097673437278916,2.0097673437278916,1,detectable_upward_drift,detectable_upward_drift,True,,0.005261688615828319,0.01331489421921636,63
2025-07-02,2025-07-02,389,1.0,1,0.003064271621238991,1,0.003064271621238991,11.18722638127927,9.968435971095378,9.968435971095378,3.5433080800811485,3.5433080800811485,1,detectable_upward_drift,detectable_upward_drift,True,,0.003064271621238991,0.012677001264720655,63
2025-07-07,2025-07-07,389,1.0,1,0.0023035692432151968,1,0.0023035692432151968,13.076476651030154,16.16044627605506,16.16044627605506,3.2528502309755267,3.2528502309755267,1,detectable_upward_drift,detectable_upward_drift,True,,0.0023035692432151968,0.01230345778509301,63
2025-07-08,2025-07-08,389,1.0,1,0.002240964574495704,1,0.002240964574495704,10.09133977764678,14.301432704522526,14.301432704522526,2.668449914837545,2.668449914837545,1,detectable_upward_drift,detectable_upward_drift,True,,0.002240964574495704,0.01222495626170092,63
2025-07-09,2025-07-09,389,1.0,1,0.0024035089602907453,1,0.0024035089602907453,15.501105810223912,20.986623074448314,20.986623074448314,3.3836964792403794,3.3836964792403794,1,detectable_upward_drift,detectable_upward_drift,True,,0.0024035089602907453,0.012144208129943504,63
2025-07-10,2025-07-10,389,1.0,1,0.0019411476284625468,1,0.0019411476284625468,9.716276596723217,11.674987882066572,11.674987882066572,2.8436205906444987,2.8436205906444987,1,detectable_upward_drift,detectable_upward_drift,True,,0.0019411476284625468,0.01235810920076368,63
2025-07-11,2025-07-11,389,1.0,1,0.0011922417178747292,1,0.0011922417178747292,20.808456964672327,51.77791810533256,51.77791810533256,2.89179554609613,2.89179554609613,1,detectable_upward_drift,detectable_upward_drift,True,,0.0011922417178747292,0.012715677865514937,63
2025-07-15,2025-07-15,389,1.0,1,0.001407796029109803,1,0.001407796029109803,13.802872289677445,8.591151728100613,8.591151728100613,4.7091635642334655,4.7091635642334655,1,detectable_upward_drift,detectable_upward_drift,True,,0.001407796029109803,0.01269463434078647,63
2025-07-17,2025-07-17,389,1.0,1,-1.8083579904288038e-05,-1,1.8083579904288038e-05,10.891185607225268,8.726315988923929,8.726315988923929,3.6868858513557132,3.6868858513557132,-1,detectable_downward_drift,detectable_downward_drift,True,,-1.8083579904288038e-05,0.011499748845331484,63
2025-07-22,2025-07-22,389,1.0,1,0.0015620484801904969,1,0.0015620484801904969,14.113288435647846,24.808112182032108,24.808112182032108,2.8335531209218385,2.8335531209218385,1,detectable_upward_drift,detectable_upward_drift,True,,0.0015620484801904969,0.011808993247151648,63
2025-07-23,2025-07-23,389,1.0,1,0.001127981589654664,1,0.001127981589654664,8.95944143214387,7.533047127358205,7.533047127358205,3.2643415475101345,3.2643415475101345,1,detectable_upward_drift,detectable_upward_drift,True,,0.001127981589654664,0.011618923079092744,63
2025-07-24,2025-07-24,389,1.0,1,0.0003666144654245143,1,0.0003666144654245143,16.392618413590686,28.589447447480953,28.589447447480953,3.0658114978084807,3.0658114978084807,1,detectable_upward_drift,detectable_upward_drift,True,,0.0003666144654245143,0.011306939533429585,63
2025-08-05,2025-08-05,389,1.0,1,0.002942189554461355,1,0.002942189554461355,16.489503632623137,35.80141957066878,35.80141957066878,2.7558619530373467,2.7558619530373467,1,detectable_upward_drift,detectable_upward_drift,True,,0.002942189554461355,0.02699195193371395,63
2025-08-06,2025-08-06,389,1.0,1,0.0033189078813173688,1,0.0033189078813173688,9.177236352368187,16.217356294009917,16.217356294009917,2.278882259998497,2.278882259998497,1,detectable_upward_drift,detectable_upward_drift,True,,0.0033189078813173688,0.02701224552810846,63
2025-08-07,2025-08-07,389,1.0,1,0.0017905520069698593,1,0.0017905520069698593,17.691687104958632,30.44181737450977,30.44181737450977,3.206520063801094,3.206520063801094,1,detectable_upward_drift,detectable_upward_drift,True,,0.0017905520069698593,0.02685386567776597,63
2025-08-12,2025-08-12,389,1.0,1,0.004260954352057777,1,0.004260954352057777,43.19009438405624,161.0916842962942,161.0916842962942,3.402887503730802,3.402887503730802,1,detectable_upward_drift,detectable_upward_drift,True,,0.004260954352057777,0.026886926027662194,63
2025-08-14,2025-08-14,389,1.0,1,0.0051583858148652895,1,0.0051583858148652895,17.329958862225727,12.972183868381407,12.972183868381407,4.811616260827644,4.811616260827644,1,detectable_upward_drift,detectable_upward_drift,True,,0.0051583858148652895,0.026744525123844506,63
2025-08-19,2025-08-19,389,1.0,1,0.002450432085251557,1,0.002450432085251557,19.755194509412203,75.65882619767969,75.65882619767969,2.2711797665770623,2.2711797665770623,1,detectable_upward_drift,detectable_upward_drift,True,,0.002450432085251557,0.027579420897988677,63
2025-08-28,2025-08-28,389,1.0,1,0.003565879217771179,1,0.003565879217771179,14.733374920012896,28.37759615771834,28.37759615771834,2.7657596636118735,2.7657596636118735,1,detectable_upward_drift,detectable_upward_drift,True,,0.003565879217771179,0.027772480545946304,63
2025-08-29,2025-08-29,389,1.0,1,-0.002376230280745348,-1,0.002376230280745348,11.24039250714829,8.328046070706579,8.328046070706579,3.8950220201977754,3.8950220201977754,-1,detectable_downward_drift,detectable_downward_drift,True,,-0.002376230280745348,0.01417021580005565,63
